gene_id,gene_symbol,means,variances,variances_norm,highly_variable_rank
ENSG00000112799.9,LY86,1.5645481628599802,6.117543320502633,1.4658031516552854,1553.0
ENSG00000278828.2,H3C10,0.02830188679245283,0.21282490438615068,3.786522202683194,195.0
ENSG00000231389.8,HLA-DPA1,12.001489572989076,703.0458811854609,6.331958221602953,75.0
ENSG00000196735.13,HLA-DQA1,4.885302879841112,209.28796552053004,8.34583409541299,41.0
ENSG00000179344.17,HLA-DQB1,4.400993048659385,77.86163373418546,3.675108711476625,202.0
ENSG00000111961.19,SASH1,0.08202581926514399,0.1859416698070306,1.6564607257892845,1100.0
ENSG00000112077.18,RHAG,0.0005958291956305859,0.001191421692802286,1.4642991600155781,1563.0
ENSG00000275713.3,H2BC9,0.010327706057596822,0.01916038519912702,1.4649313752606385,1554.0
ENSG00000273983.2,H3C8,0.0028798411122144987,0.006645792492575806,1.9971065989800574,698.0
ENSG00000120279.7,MYCT1,0.0030784508440913605,0.01498704618371568,3.056853824746288,285.0
ENSG00000161911.12,TREML1,0.00814299900695134,0.05237186156335585,4.247906860806169,159.0
ENSG00000189134.4,NKAPL,0.019662363455809333,0.03953787387384545,1.5325346890972775,1339.0
ENSG00000124635.9,H2BC11,0.020655412115193644,0.0623402199106207,2.2956437193243016,501.0
ENSG00000112137.19,PHACTR1,0.4175769612711023,1.3934937806986805,2.0807531440316964,630.0
ENSG00000124762.14,CDKN1A,0.23128103277060577,0.601881663986221,1.7969635431913984,884.0
ENSG00000112303.14,VNN2,0.4037735849056604,0.9687413450961949,1.5073050450034218,1438.0
ENSG00000135549.16,PKIB,0.019860973187686197,0.06376281709826824,2.4458117745755237,441.0
ENSG00000137265.16,IRF4,0.09493545183714001,0.29906065230347545,2.290645567998891,504.0
ENSG00000178033.6,CALHM5,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1692.0
ENSG00000146192.15,FGD2,1.0451837140019862,3.7738048872906047,1.6554192697081365,1101.0
ENSG00000135604.11,STX11,1.343098311817279,5.335941536664148,1.613654494091675,1173.0
ENSG00000232810.5,TNF,0.18639523336643496,0.5822957738575034,2.202010060943955,557.0
ENSG00000286562.1,ENSG00000286562.1,0.0010923535253227407,0.001687157027631488,1.3949041454566002,1967.0
ENSG00000112118.20,MCM3,0.24508440913604768,0.5391927379334825,1.5086768468988283,1436.0
ENSG00000196126.12,HLA-DRB1,13.430585898709037,738.9249160336874,5.498375676434271,101.0
ENSG00000228124.1,MDN1-AS1,0.0013902681231380337,0.002182990986818559,1.4019588731121932,1938.0
ENSG00000124772.12,CPNE5,0.10605759682224429,0.32681800442882547,2.2342811002946594,541.0
ENSG00000225924.2,TAB2-AS1,0.0012909632571996028,0.0020839425442105877,1.4455065255214776,1645.0
ENSG00000137309.21,HMGA1,0.7117179741807349,1.9855116971940285,1.4936093314469792,1475.0
ENSG00000124507.11,PACSIN1,0.03614697120158888,0.12879556087820257,2.6608372229294583,379.0
ENSG00000290878.1,ENSG00000290878.1,1.3341608738828203,6.511723970541693,1.989223137223069,706.0
ENSG00000291006.1,ENSG00000291006.1,0.0026812313803376365,0.005057861431396454,1.6391692473399209,1125.0
ENSG00000224557.10,HLA-DPB2,0.15719960278053624,0.3116648156518434,1.4130949839446478,1890.0
ENSG00000291237.1,SOD2,2.9215491559086395,23.408682474244497,2.1236755498659834,603.0
ENSG00000166278.16,C2,0.08709036742800397,0.22193085189846468,1.858458241098794,817.0
ENSG00000151914.22,DST,0.12413108242303873,0.29584230280774676,1.71706951237892,991.0
ENSG00000228495.3,LINC01013,0.010327706057596822,0.020948050309862944,1.6016095621529958,1194.0
ENSG00000118508.5,RAB32,0.9192651439920556,3.0731316478364827,1.6209135803134458,1163.0
ENSG00000118515.12,SGK1,0.5670307845084409,2.3361062886539683,2.3715716853944904,462.0
ENSG00000124721.18,DNAH8,0.0008937437934458789,0.0016875515250629645,1.7231131345838728,969.0
ENSG00000271857.1,ENSG00000271857.1,0.03515392254220457,0.07185971908035153,1.5274849295430286,1360.0
ENSG00000096696.16,DSP,0.010427010923535254,0.018860379764924898,1.4272968457407667,1843.0
ENSG00000262179.3,MYMX,0.0031777557100297915,0.006743302395201018,1.8255402657694337,850.0
ENSG00000289931.1,ENSG00000289931.1,0.0011916583912611719,0.0019848743767310424,1.4973443258816574,1458.0
