"gene_id","gene_symbol","mean","variance","variance.expected","variance.standardized"
"ENSG00000288730.1","ENSG00000288730.1",0.0152929493545184,0.0915329114906549,0.0198370344919869,3.99498212537463
"ENSG00000115163.15","CENPA",0.00973187686196624,0.0561174174265097,0.0122725475112593,3.98878473226461
"ENSG00000188290.11","HES4",0.331976166832175,2.02375644793724,0.507580384555125,3.98706591018282
"ENSG00000256039.4","LINC02446",0.689672293942403,5.0474948772043,1.27415715362321,3.96143824398048
"ENSG00000289536.1","ENSG00000289536.1",0.0154915590863952,0.131848576500399,0.0201083583449092,3.96061930443464
"ENSG00000119922.11","IFIT2",1.40794438927507,14.0097491755742,3.55239811530652,3.94374411899652
"ENSG00000224137.2","LINC01857",0.153525322740814,0.843047954220146,0.215083924912262,3.91962325666153
"ENSG00000150045.12","KLRF1",0.322740814299901,1.92045807463753,0.490960500524017,3.91163458687161
"ENSG00000102055.7","PPP1R2C",0.0444885799404171,0.234190993761714,0.0598748419070109,3.91134216480148
"ENSG00000123689.6","G0S2",0.0363455809334657,0.189959034400472,0.0486760397789849,3.90251621255523
"ENSG00000111537.5","IFNG",0.125124131082423,0.677956459910233,0.173734669363051,3.90225199377744
"ENSG00000154928.19","EPHB1",0.0355511420059583,0.184454532839594,0.0475884075627688,3.87603919287064
"ENSG00000152253.9","SPC25",0.00953326713008937,0.0485733246951546,0.0120042996675906,3.85696883522787
"ENSG00000185198.12","PRSS57",0.0231380337636544,0.170385225755594,0.0305594547263716,3.84683750947238
"ENSG00000166963.13","MAP1A",0.0490566037735849,0.254222468739284,0.0662085968728638,3.83971992681632
"ENSG00000204482.11","LST1",8.19384309831182,223.497826822141,58.5554094961131,3.81686045312289
"ENSG00000131153.9","GINS2",0.0246276067527309,0.127310790895354,0.0326002680111888,3.80839086863293
"ENSG00000278828.2","H3C10",0.0283018867924528,0.212824904386152,0.0376312578059391,3.78652220268327
"ENSG00000176788.9","BASP1",0.570009930486594,3.74239179650489,0.991735577078661,3.77357824303203
"ENSG00000075218.19","GTSE1",0.0161866931479643,0.0900150530357414,0.0210577343745181,3.74944199161173
"ENSG00000119866.22","BCL11A",0.786295928500497,5.69153926289929,1.52341688486057,3.73603530291714
"ENSG00000167641.11","PPP1R14A",0.0994041708043694,0.510229061974857,0.136868728801432,3.72787170921338
"ENSG00000124766.7","SOX4",0.455610724925521,2.75277167484772,0.74590482859226,3.69051327907746
"ENSG00000138755.6","CXCL9",0.0239324726911619,1.89445151197551,0.0316483059559246,3.68846687812054
"ENSG00000179344.17","HLA-DQB1",4.40099304865938,77.8616337341835,21.1862123960219,3.67510871121091
"ENSG00000166851.15","PLK1",0.0163853028798411,0.123974220381848,0.0213288387969806,3.66888300135607
"ENSG00000169715.15","MT1E",0.0788480635551142,0.392431685126348,0.107785609924992,3.64085414926395
"ENSG00000204472.13","AIF1",13.6046673286991,499.765535866072,137.368533975508,3.63813692555812
"ENSG00000211891.6","IGHE",0.0103277060575968,0.0509410982788768,0.0130793739029028,3.61364694099175
"ENSG00000164687.11","FABP5",0.320754716981132,1.75886009178181,0.487407844004068,3.60860029935666
"ENSG00000100162.15","CENPM",0.0560079443892751,0.273355002419749,0.0758570805355475,3.60355289829078
"ENSG00000169385.3","RNASE2",0.671698113207547,4.42314370466419,1.22992907564134,3.59625916019411
"ENSG00000122952.17","ZWINT",0.0323733862959285,0.154478724408335,0.0432304803678967,3.57337515321834
"ENSG00000185630.20","PBX1",0.0113207547169811,0.0564812229578174,0.0144269258056168,3.56800635622398
"ENSG00000007312.14","CD79B",1.00526315789474,7.63836737040723,2.15475640111279,3.54488672894195
